objectid,date,count
1,2020-03-04T05:00:00Z,0
2,2020-03-05T05:00:00Z,3
3,2020-03-06T05:00:00Z,3
4,2020-03-07T05:00:00Z,3
5,2020-03-08T06:00:00Z,5
6,2020-03-09T06:00:00Z,6
7,2020-03-10T06:00:00Z,9
8,2020-03-11T06:00:00Z,12
9,2020-03-12T06:00:00Z,12
10,2020-03-13T06:00:00Z,15
11,2020-03-14T06:00:00Z,26
12,2020-03-15T06:00:00Z,31
13,2020-03-16T06:00:00Z,37
14,2020-03-17T06:00:00Z,57
15,2020-03-18T06:00:00Z,85
16,2020-03-19T06:00:00Z,107
17,2020-03-20T06:00:00Z,149
18,2020-03-21T06:00:00Z,190
19,2020-03-22T06:00:00Z,244
20,2020-03-23T06:00:00Z,288
21,2020-03-24T06:00:00Z,349
22,2020-03-25T06:00:00Z,423
23,2020-03-26T06:00:00Z,580
24,2020-03-27T06:00:00Z,774
25,2020-03-28T06:00:00Z,992
26,2020-03-29T06:00:00Z,1239
27,2020-03-30T06:00:00Z,1413
28,2020-03-31T06:00:00Z,1660
29,2020-04-01T06:00:00Z,1985
30,2020-04-02T06:00:00Z,2331
31,2020-04-03T06:00:00Z,2758
32,2020-04-04T06:00:00Z,3125
33,2020-04-05T06:00:00Z,3609
34,2020-04-06T06:00:00Z,4045
35,2020-04-07T06:00:00Z,4371
36,2020-04-08T06:00:00Z,5529
37,2020-04-09T06:00:00Z,6185
38,2020-04-10T06:00:00Z,6968
39,2020-04-11T06:00:00Z,7694
40,2020-04-12T06:00:00Z,8225
41,2020-04-13T06:00:00Z,8936
42,2020-04-14T06:00:00Z,9472
43,2020-04-15T06:00:00Z,10032
44,2020-04-16T06:00:00Z,10784
45,2020-04-17T06:00:00Z,11572
46,2020-04-18T06:00:00Z,12308
47,2020-04-19T06:00:00Z,12830
48,2020-04-20T06:00:00Z,13684
49,2020-04-21T06:00:00Z,14193
50,2020-04-22T06:00:00Z,14775
51,2020-04-23T06:00:00Z,15737
52,2020-04-24T06:00:00Z,16616
53,2020-04-25T06:00:00Z,17766
54,2020-04-26T06:00:00Z,18581
55,2020-04-27T06:00:00Z,19487
56,2020-04-28T06:00:00Z,20113
57,2020-04-29T06:00:00Z,20849
58,2020-04-30T06:00:00Z,21742
59,2020-05-01T06:00:00Z,23472
60,2020-05-02T06:00:00Z,24473
61,2020-05-03T06:00:00Z,25462
62,2020-05-04T06:00:00Z,26408
63,2020-05-05T06:00:00Z,27117
64,2020-05-06T06:00:00Z,28163
65,2020-05-07T06:00:00Z,29374
66,2020-05-08T06:00:00Z,30485
67,2020-05-09T06:00:00Z,31534
68,2020-05-10T06:00:00Z,32587
69,2020-05-11T06:00:00Z,33373
70,2020-05-12T06:00:00Z,34061
71,2020-05-13T06:00:00Z,34812
72,2020-05-14T06:00:00Z,35903
73,2020-05-15T06:00:00Z,36986
74,2020-05-16T06:00:00Z,37968
75,2020-05-17T06:00:00Z,38804
76,2020-05-18T06:00:00Z,39762
77,2020-05-19T06:00:00Z,41546
78,2020-05-20T06:00:00Z,42323
79,2020-05-21T06:00:00Z,43531
80,2020-05-22T06:00:00Z,44424
81,2020-05-23T06:00:00Z,45495
82,2020-05-24T06:00:00Z,46313
83,2020-05-25T06:00:00Z,47152
84,2020-05-26T06:00:00Z,47687
85,2020-05-27T06:00:00Z,48423
86,2020-05-28T06:00:00Z,49709
87,2020-05-29T06:00:00Z,50988
88,2020-05-30T06:00:00Z,52015
89,2020-05-31T06:00:00Z,52778
90,2020-06-01T06:00:00Z,53327
91,2020-06-02T06:00:00Z,54175
92,2020-06-03T06:00:00Z,54982
93,2020-06-04T06:00:00Z,55858
94,2020-06-05T06:00:00Z,56770
95,2020-06-06T06:00:00Z,57482
96,2020-06-07T06:00:00Z,57973
97,2020-06-08T06:00:00Z,58404
